====================================================================================================
MTL-TLV A-H COMPLETE TRAINING LOG
====================================================================================================
Run start time       : 2026-09-08T15:45:52+08:00
Operating system     : Windows-10-10.0.26200-SP0
Python               : 3.9.25
PyTorch              : 2.1.1+cu118
CUDA runtime         : 11.8
cuDNN                : 8700
Device               : cuda:0
GPU                  : NVIDIA GeForce RTX 4090 D
GPU memory           : 23.99 GiB
----------------------------------------------------------------------------------------------------
CUBLAS_WORKSPACE_CONFIG: :4096:8
cudnn.deterministic  : True
cudnn.benchmark      : False
CUDA matmul TF32     : False
cuDNN TF32           : False
deterministic algorithms: True
====================================================================================================
Starting SMAC hyperparameter optimization
========================================================================================
SMAC trial 1/10 | LR=0.01 | WD=1e-06 | loss_weight=0.1
  Epoch 001/100 | Val Loss=15664.7393 | Acc=36.59% | Precision=36.59% | Recall=100.00% | MAE=61803.8692
  Epoch 002/100 | Val Loss=12.3656 | Acc=70.04% | Precision=55.24% | Recall=95.59% | MAE=149.3041
  Epoch 003/100 | Val Loss=2.9448 | Acc=75.43% | Precision=60.21% | Recall=96.81% | MAE=25.8756
  Epoch 004/100 | Val Loss=2.0228 | Acc=81.26% | Precision=68.46% | Recall=90.44% | MAE=22.3480
  Epoch 005/100 | Val Loss=1.7990 | Acc=80.18% | Precision=72.75% | Recall=73.28% | MAE=15.0706
  Epoch 006/100 | Val Loss=2.0265 | Acc=70.22% | Precision=92.22% | Recall=20.34% | MAE=17.4369
  Epoch 007/100 | Val Loss=1.4089 | Acc=82.60% | Precision=83.65% | Recall=65.20% | MAE=12.3864
  Epoch 008/100 | Val Loss=1.8409 | Acc=85.29% | Precision=81.28% | Recall=77.70% | MAE=21.3721
  Epoch 009/100 | Val Loss=1.8522 | Acc=78.21% | Precision=95.08% | Recall=42.65% | MAE=16.1269
  Epoch 010/100 | Val Loss=1.8340 | Acc=87.00% | Precision=77.80% | Recall=90.20% | MAE=22.7213
  Epoch 011/100 | Val Loss=1.7594 | Acc=88.07% | Precision=90.32% | Recall=75.49% | MAE=20.8159
  Epoch 012/100 | Val Loss=1.1309 | Acc=88.88% | Precision=89.89% | Recall=78.43% | MAE=11.8518
  Epoch 013/100 | Val Loss=1.2103 | Acc=86.91% | Precision=90.18% | Recall=72.06% | MAE=12.1270
  Epoch 014/100 | Val Loss=1.6925 | Acc=91.21% | Precision=84.14% | Recall=93.63% | MAE=21.4358
  Epoch 015/100 | Val Loss=1.0473 | Acc=91.66% | Precision=85.88% | Recall=92.40% | MAE=11.3471
  Epoch 016/100 | Val Loss=0.9265 | Acc=93.00% | Precision=91.88% | Recall=88.73% | MAE=10.4079
  Epoch 017/100 | Val Loss=0.8881 | Acc=91.75% | Precision=83.33% | Recall=96.81% | MAE=9.6012
  Epoch 018/100 | Val Loss=1.0664 | Acc=93.00% | Precision=96.35% | Recall=84.07% | MAE=11.4227
  Epoch 019/100 | Val Loss=1.0818 | Acc=91.66% | Precision=95.92% | Recall=80.64% | MAE=11.7833
  Epoch 020/100 | Val Loss=1.0924 | Acc=93.45% | Precision=88.68% | Recall=94.12% | MAE=11.6893
  Epoch 021/100 | Val Loss=1.1635 | Acc=91.57% | Precision=96.73% | Recall=79.66% | MAE=11.8850
  Epoch 022/100 | Val Loss=1.0878 | Acc=93.99% | Precision=95.96% | Recall=87.25% | MAE=13.5507
  Epoch 023/100 | Val Loss=1.0227 | Acc=92.65% | Precision=85.43% | Recall=96.32% | MAE=11.3698
  Epoch 024/100 | Val Loss=0.9280 | Acc=94.62% | Precision=93.72% | Recall=91.42% | MAE=11.1035
  Epoch 025/100 | Val Loss=1.0002 | Acc=94.44% | Precision=95.29% | Recall=89.22% | MAE=12.2033
  Epoch 026/100 | Val Loss=1.7740 | Acc=95.25% | Precision=95.17% | Recall=91.67% | MAE=23.4273
  Epoch 027/100 | Val Loss=0.8485 | Acc=95.70% | Precision=96.15% | Recall=91.91% | MAE=9.9438
  Epoch 028/100 | Val Loss=0.9195 | Acc=95.34% | Precision=93.84% | Recall=93.38% | MAE=11.2261
  Epoch 029/100 | Val Loss=0.8120 | Acc=95.16% | Precision=97.84% | Recall=88.73% | MAE=8.5608
  Epoch 030/100 | Val Loss=0.8561 | Acc=93.09% | Precision=97.69% | Recall=83.09% | MAE=7.1691
  Epoch 031/100 | Val Loss=0.6756 | Acc=96.59% | Precision=94.90% | Recall=95.83% | MAE=7.2857
  Epoch 032/100 | Val Loss=1.7744 | Acc=95.87% | Precision=93.51% | Recall=95.34% | MAE=24.0511
  Epoch 033/100 | Val Loss=1.3932 | Acc=96.23% | Precision=95.07% | Recall=94.61% | MAE=17.9885
  Epoch 034/100 | Val Loss=0.8342 | Acc=95.78% | Precision=94.79% | Recall=93.63% | MAE=10.0668
  Epoch 035/100 | Val Loss=0.8499 | Acc=96.14% | Precision=98.15% | Recall=91.18% | MAE=8.8549
  Epoch 036/100 | Val Loss=0.7203 | Acc=96.32% | Precision=94.87% | Recall=95.10% | MAE=7.8631
  Epoch 037/100 | Val Loss=0.9886 | Acc=96.14% | Precision=93.76% | Recall=95.83% | MAE=12.2049
  Epoch 038/100 | Val Loss=0.7427 | Acc=96.59% | Precision=98.18% | Recall=92.40% | MAE=8.1544
  Epoch 039/100 | Val Loss=0.9693 | Acc=97.13% | Precision=95.63% | Recall=96.57% | MAE=11.8097
  Epoch 040/100 | Val Loss=0.6464 | Acc=96.68% | Precision=96.49% | Recall=94.36% | MAE=7.4915
  Epoch 041/100 | Val Loss=0.7654 | Acc=95.96% | Precision=97.39% | Recall=91.42% | MAE=7.8551
  Epoch 042/100 | Val Loss=1.3176 | Acc=97.13% | Precision=96.31% | Recall=95.83% | MAE=16.4091
